,Edition,Sport,Discipline,Athlete,Gender,Event,Medal,Country
0,1896,Aquatics,Swimming,"HAJOS, Alfred",Men,100m freestyle,Gold,Hungary
1,1896,Aquatics,Swimming,"HAJOS, Alfred",Men,1200m freestyle,Gold,Hungary
2,1896,Athletics,Athletics,"SZOKOLYI, Alajos",Men,100m,Bronze,Hungary
3,1896,Athletics,Athletics,"DANI, Nandor",Men,800m,Silver,Hungary
4,1896,Athletics,Athletics,"KELLNER, Gyula",Men,marathon,Bronze,Hungary
5,1896,Tennis,Tennis,"TAPAVICZA, Momcsillo",Men,singles,Bronze,Hungary
6,1900,Aquatics,Swimming,"HALMAY, Zoltan",Men,1500m freestyle,Bronze,Hungary
7,1900,Aquatics,Swimming,"HALMAY, Zoltan",Men,200m freestyle,Silver,Hungary
8,1900,Aquatics,Swimming,"HALMAY, Zoltan",Men,4000m freestyle,Silver,Hungary
9,1900,Athletics,Athletics,"BAUER, Rudolf",Men,discus throw,Gold,Hungary
10,1900,Athletics,Athletics,"GÖNCZY, Lajos",Men,high jump,Bronze,Hungary
11,1904,Aquatics,Swimming,"HALMAY, Zoltan",Men,100m freestyle,Gold,Hungary
12,1904,Aquatics,Swimming,"KISS, Geza",Men,1500m freestyle,Silver,Hungary
13,1904,Aquatics,Swimming,"HALMAY, Zoltan",Men,50y freestyle (45.72m),Gold,Hungary
14,1904,Aquatics,Swimming,"KISS, Geza",Men,880y freestyle (804.66m),Bronze,Hungary
15,1908,Aquatics,Swimming,"HALMAY, Zoltan",Men,100m freestyle,Silver,Hungary
16,1908,Aquatics,Swimming,"HALMAY, Zoltan",Men,4x200m freestyle relay,Silver,Hungary
17,1908,Aquatics,Swimming,"LAS TORRES, Béla",Men,4x200m freestyle relay,Silver,Hungary
18,1908,Aquatics,Swimming,"MUNK, Jozsef",Men,4x200m freestyle relay,Silver,Hungary
19,1908,Aquatics,Swimming,"ZACHAR, Imre",Men,4x200m freestyle relay,Silver,Hungary
20,1908,Athletics,Athletics,"BODOR, Ödön",Men,4x400m relay,Bronze,Hungary
21,1908,Athletics,Athletics,"NAGY, Jozsef",Men,4x400m relay,Bronze,Hungary
22,1908,Athletics,Athletics,"RACZ, G.",Men,4x400m relay,Bronze,Hungary
23,1908,Athletics,Athletics,"SIMON, Pal",Men,4x400m relay,Bronze,Hungary
24,1908,Athletics,Athletics,"SOMODY, Istvan",Men,high jump,Silver,Hungary
25,1908,Fencing,Fencing,"FUCHS, Jenö",Men,sabre individual,Gold,Hungary
26,1908,Fencing,Fencing,"ZULAWSKY, Béla",Men,sabre individual,Silver,Hungary
27,1908,Fencing,Fencing,"FUCHS, Jenö",Men,sabre team,Gold,Hungary
28,1908,Fencing,Fencing,"GERDE, Oskar",Men,sabre team,Gold,Hungary
29,1908,Fencing,Fencing,"TOTH, Peter",Men,sabre team,Gold,Hungary
30,1908,Fencing,Fencing,"WERKNER, Lajos",Men,sabre team,Gold,Hungary
31,1908,Rowing,Rowing,"LEVICZKY, Károly",Men,single sculls (1x),Bronze,Hungary
32,1908,Wrestling,Wrestling Gre-R,"WEISZ, Richard",Men,+ 93kg (super heavyweight),Gold,Hungary
33,1912,Athletics,Athletics,"KOVACS, Mor",Men,javelin throw,Bronze,Hungary
34,1912,Fencing,Fencing,"MESZAROS, Ervin",Men,sabre individual,Bronze,Hungary
35,1912,Fencing,Fencing,"FUCHS, Jenö",Men,sabre individual,Gold,Hungary
36,1912,Fencing,Fencing,"BEKESSY, Béla",Men,sabre individual,Silver,Hungary
37,1912,Fencing,Fencing,"BERTI, Laszlo",Men,sabre team,Gold,Hungary
38,1912,Fencing,Fencing,"FÖLDES, Deszö",Men,sabre team,Gold,Hungary
39,1912,Fencing,Fencing,"FUCHS, Jenö",Men,sabre team,Gold,Hungary
40,1912,Fencing,Fencing,"GERDE, Oskar",Men,sabre team,Gold,Hungary
41,1912,Fencing,Fencing,"MESZAROS, Ervin",Men,sabre team,Gold,Hungary
